# BEAST v1.8.2, r6687
# Generated Wed Dec 09 10:39:01 PST 2015 [seed=1449686340227]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
3000000	-6563.403894882791	-4263.747583217238	-2299.656311665554	1340.9149186108	37259.411544899085	42918.40707237596	17181.41764653663	11309.475531923923	11630.360076896608	4533.526796353768	2461.792714789672	2380.9384645444184	4155.870046087225	537.6246795244766	33.0	5.0	9.0	4.0	27.0	3.0	32.0	13.0	31.0	41.0	2.881424086183262	0.45698605226700556	0.1291753301976907	0.19605135346095304	0.21778726407434992	1.417652566232292E-5	-2299.656311665554	-1871.683827688312
3100000	-6490.409081593078	-4191.136489475699	-2299.2725921173783	704.110562112401	48711.76899085292	37598.665042860914	4040.8534052085274	2699.508225409984	3528.249662468844	4390.100243320909	8111.429743474756	1619.6182723048546	827.355541015439	223.28818762867434	23.0	10.0	12.0	27.0	7.0	47.0	3.0	3.0	51.0	15.0	2.5754534789274337	0.42824138207854057	0.12515144629888258	0.19239440613930472	0.2542127654832713	1.2931494817859425E-5	-2299.2725921173783	-1803.8169856650575
3200000	-6443.147786813378	-4159.271361362503	-2283.876425450875	691.2899768008047	40368.73570575819	24856.111013037582	23287.873787886256	1637.1714295953761	2041.0239395117153	2107.4305293491016	4102.799921444328	4221.776570336265	2750.1427502768347	380.85450901767575	19.0	11.0	6.0	74.0	7.0	3.0	22.0	4.0	28.0	24.0	2.469730696548525	0.43666722293473487	0.1476638248453641	0.20144687430463593	0.2142220779152643	1.4057378634779826E-5	-2283.876425450875	-1770.5802408973054
3300000	-6467.407509525832	-4169.591741509368	-2297.815768016464	921.4473558106525	151566.16314740328	5402.794846492635	3150.711543605934	3410.472847960901	1431.1490028157934	2613.0329669605694	3289.403868278674	1474.7037131102	426.7592330711249	274.32538783926145	8.0	47.0	16.0	47.0	25.0	14.0	20.0	1.0	17.0	3.0	2.5027043137258143	0.45123208256456	0.15176933828111716	0.18563901418212192	0.2113595649722001	1.3598667973524073E-5	-2297.815768016464	-1785.4454565626438
3400000	-6459.118106420319	-4171.239013056676	-2287.8790933636424	1226.4687825178967	85515.81066543655	18459.69191533178	11374.226228622429	4935.0075650388335	8764.453411355378	3346.275648889	1343.9299839861983	565.6328596914614	473.7742874983949	525.0415756265376	16.0	17.0	5.0	26.0	10.0	50.0	16.0	41.0	15.0	2.0	3.3019901694122167	0.4199128165668582	0.14858450838042872	0.20665215258970365	0.22485052246300855	1.549696579082505E-5	-2287.8790933636424	-1784.5036810217377
3500000	-6536.651577804208	-4253.079566343239	-2283.5720114609685	657.4031635182507	37896.3428335839	23838.032984367164	69949.92611284566	3716.957046299288	8045.395641660344	4895.460087386569	2710.044351324164	1653.6720918404035	106.41543583123708	283.5476142630745	20.0	24.0	4.0	21.0	12.0	44.0	24.0	31.0	1.0	17.0	3.8719862568937162	0.4442843681295278	0.1434308183372987	0.16396245373188154	0.24832235980129103	1.4047932431746587E-5	-2283.5720114609685	-1861.927074725775
3600000	-6450.3551893976	-4155.702843889426	-2294.6523455081738	943.777560877748	238333.20446368598	7701.2629662587515	10032.130892885381	5300.754763344391	4092.6970745986155	6040.948775548007	1021.5354081601566	1541.5359648004976	297.4190098838422	199.38937159754224	5.0	47.0	4.0	2.0	40.0	18.0	16.0	38.0	16.0	12.0	2.6355066251085644	0.3956805558285412	0.15733315755353044	0.16729775532111008	0.27968853129681737	1.5169112869941739E-5	-2294.6523455081738	-1767.7229389778186
3700000	-6455.3415894742775	-4166.232522186909	-2289.1090672873684	740.925417356017	42376.07998543538	6722.165792420578	8771.278210988752	2128.490351452159	2719.4496417449936	4904.63194146596	1107.1652959811902	517.1674234614907	716.3720982405903	149.57323443791248	24.0	10.0	26.0	3.0	20.0	36.0	36.0	30.0	9.0	4.0	3.443647856463936	0.4347239981644405	0.1369479962092734	0.16171393576731463	0.2666140698589706	1.5727865158321232E-5	-2289.1090672873684	-1782.584337776773
3800000	-6513.042749749057	-4215.325680841852	-2297.7170689072054	1091.669830145244	20057.473848508605	90779.43499484252	7089.9139395884295	1942.5551656972739	7181.702111479126	2378.2841689662696	2064.991581207018	1400.2230619322106	2239.848643090794	319.50588604758445	1.0	19.0	58.0	25.0	4.0	39.0	36.0	1.0	1.0	14.0	3.15244358420184	0.4158168321689742	0.15021713698494815	0.18793053164167045	0.24603549920440623	1.2085448326943124E-5	-2297.7170689072054	-1823.3571312358288
3900000	-6504.713659015721	-4200.752531245765	-2303.9611277699564	764.9186102739798	51681.44163341803	22382.152879101934	27103.626686291245	22169.138208829034	4058.2964245928492	2438.1323312612667	1447.91543824128	1042.908182464422	773.1329509432446	444.2973406746409	10.0	9.0	26.0	5.0	5.0	76.0	32.0	21.0	2.0	12.0	3.0248540330623257	0.42528501019881026	0.17311331941292982	0.1759656454060904	0.2256360249821686	1.2144695808937009E-5	-2303.9611277699564	-1813.1633497294722
